Type,Name,Header
Talk,T1,./generated_talks.html#t1-vgt1-as-enhancer-of-zmrap27-impacts-flowering-time-and-gene-regulatory-networks-involved-in-jasmonate-signaling-in-maize
Talk,T2,./generated_talks.html#t2-decoding-a-complex-distal-non-coding-qtl-at-teosinte-branched-1
Talk,T3,./generated_talks.html#t3-cross-species-modeling-of-plant-genomes-at-single-nucleotide-resolution-using-a-pre-trained-dna-language-model
Talk,T4,./generated_talks.html#t4-quantitative-genetics-of-leaf-vascular-density-in-maize
Talk,T5,./generated_talks.html#t5-integrating-proximal-sensing-modalities-for-enhanced-prediction-of-agronomically-important-crop-traits
Talk,T6,./generated_talks.html#t6-crowdsourcing-phenotype-prediction-results-from-the-2024-g2f-prediction-competition
Talk,T7,./generated_talks.html#t7-ensuring-the-future-of-maize-a-call-for-collaborative-action
Talk,T8,./generated_talks.html#t8-translational-and-proteomic-analysis-of-cold-stressed-maize-reveals-ribosomal-protein-families-involved-in-cold-response-and-tolerance
Talk,T9,./generated_talks.html#t9-introgression-of-a-mexican-highland-chromosomal-inversion-into-temperate-maize-accelerates-flowering-promotes-growth-and-modulates-a-cell-proliferation-gene-network
Talk,T10,./generated_talks.html#t10-integration-of-phenomic-proteomic-and-genomic-data-into-a-multi-scale-network-unravels-missing-heritability-for-maize-response-to-water-deficit
Talk,T11,./generated_talks.html#t11-transcriptional-regulation-of-stress-adaptation-in-maize-identification-and-functional-annotation
Talk,T12,./generated_talks.html#t12-a-rootless1-knockdown-allele-affects-maize-nodal-root-development-increasing-rooting-depth-nitrogen-uptake-efficiency-and-grain-production-in-the-field
Talk,T13,./generated_talks.html#t13-overexpression-of-pstol1-like-genes-increases-maize-root-surface-area-and-biomass-under-low-and-high-phosphorus-conditions
Talk,T14,./generated_talks.html#t14-delayed-divisions-and-cell-elongation-defects-influence-plant-growth-in-katanin-mutants
Talk,T15,./generated_talks.html#t15-the-epf-erecta-ligand-receptor-pairs-regulate-maize-shoot-and-inflorescence-architecture-in-coordination-with-clavata-pathway-in-maize
Talk,T16,./generated_talks.html#t16-catalytic-and-non-catalytic-trehalose-6-phosphate-synthases-tpss-interact-with-ramosa3-to-control-maize-development
Talk,T17,./generated_talks.html#t17-exploring-the-effects-of-ethylene-related-transcription-factors-during-maize-shoot-development
Talk,T18,./generated_talks.html#t18-understanding-the-molecular-mechanism-of-parthenogenesis-in-cereals
Talk,T19,./generated_talks.html#t19-heat-treatment-and-uba2-fusions-enhance-lbcas12a-genome-editing-activity-during-haploid-induction
Talk,T20,./generated_talks.html#t20-molecular-evolution-of-the-ga-reproductive-barriers-in-maize-and-related-species
Talk,T21,./generated_talks.html#t21-long-distance-retrotransposons-direct-variable-gene-imprinting-in-maize
Talk,T22,./generated_talks.html#t22-deciphering-epigenetic-and-genetic-alterations-in-a-dna-methylation-mutant-through-successive-generations-of-self-fertilization-in-maize
Talk,T23,./generated_talks.html#t23-replication-timing-uncovers-a-novel-two-compartment-arrangement-of-maize-interphase-euchromatin
Talk,T24,./generated_talks.html#t24-determination-of-genetic-and-epigenetic-regulations-of-meiotic-recombination-during-domestication-in-maize
Talk,T25,./generated_talks.html#t25-deciphering-genetic-architecture-of-stalk-lodging-resistance-using-high-density-phenotype-map-in-maize
Talk,T26,./generated_talks.html#t26-aaf-plasticity-and-fitness-trade-offs-in-switchgrass-revealed-by-open-science-and-citizen-science-data
Talk,T27,./generated_talks.html#t27-inactivation-of-a-lysine-histidine-transporter-1-gene-confers-southern-leaf-blight-resistance-in-maize
Talk,T28,./generated_talks.html#t28-regulation-of-heterosis-associated-gene-expression-complementation-in-maize-hybrids
Poster,P1,./generated_poster_list.html#p1-an-ancient-origin-of-the-naked-grains-of-maize
Poster,P2,./generated_poster_list.html#p2-analysis-of-ga2-genome-structure-and-activity-reveals-widespread-distribution-of-functional-alleles-in-modern-maize-germplasm
Poster,P3,./generated_poster_list.html#p3-comparative-genomic-analysis-of-maize-and-its-wild-relatives-to-identify-loci-underlying-cold-tolerance-and-nitrogen-recycling
Poster,P4,./generated_poster_list.html#p4-comparative-grass-genomics-reveals-explosive-genome-evolution-in-maize-and-its-wild-relatives
Poster,P5,./generated_poster_list.html#p5-determination-of-genetic-and-epigenetic-regulations-of-meiotic-recombination-during-domestication-in-maize
Poster,P6,./generated_poster_list.html#p6-discovering-mechanisms-of-maize-abnormal-chromosome-10-ab10-meiotic-drive-through-comparative-genomics
Poster,P7,./generated_poster_list.html#p7-does-maize-diversity-mirror-human-diversity-across-the-americas
Poster,P8,./generated_poster_list.html#p8-evolution-of-the-protein-complex-involved-in-early-recombination-in-plants
Poster,P9,./generated_poster_list.html#p9-evolutionary-determinants-of-gene-expression-in-maize
Poster,P10,./generated_poster_list.html#p10-extensive-modulation-of-a-conserved-cis-regulatory-code-across-625-grass-species
Poster,P11,./generated_poster_list.html#p11-genetic-and-phenotypic-characterization-of-wild-teosinte-alleles-introgressed-into-elite-maize-line-cml311
Poster,P12,./generated_poster_list.html#p12-genetic-legacies-of-the-first-ancient-south-american-state-in-archaeological-maize
Poster,P13,./generated_poster_list.html#p13-resolving-maize-domestication-and-subpopulation-divergence-using-long-terminal-repeat-retrotransposons
Poster,P14,./generated_poster_list.html#p14-revealing-the-genetic-architecture-for-different-nitrogen-responses-in-sorghum
Poster,P15,./generated_poster_list.html#p15-sex-specific-patterns-of-meiotic-recombination-are-determined-by-maize-lines-from-different-climate-zones
Poster,P16,./generated_poster_list.html#p16-structural-variation-has-a-limited-role-in-influencing-genome-wide-differential-gene-expression-patterns-in-maize
Poster,P17,./generated_poster_list.html#p17-the-effect-of-modern-breeding-on-rhizosphere-microbiome-under-different-nitrogen-conditions-in-maize
Poster,P18,./generated_poster_list.html#p18-the-genetic-basis-of-environmental-adaptation-in-grasses
Poster,P19,./generated_poster_list.html#p19-the-influence-of-heavy-metal-stress-1-on-the-evolutionary-transition-of-teosinte-to-maize
Poster,P20,./generated_poster_list.html#p20-the-molecular-evolution-of-perenniality-across-the-grasses
Poster,P21,./generated_poster_list.html#p21-a-modified-replication-timing-profiling-method-improves-early-replication-detection-and-facilitates-comparison-of-multiple-genotypes
Poster,P22,./generated_poster_list.html#p22-annotating-of-active-ltr-retrotransposons-in-course-based-genomics-research
Poster,P23,./generated_poster_list.html#p23-bacterial-strains-isolated-from-vellozia-spp-promote-maize-growth
Poster,P24,./generated_poster_list.html#p24-building-a-synthetic-cuticle-characterizing-the-impact-of-maize-transcription-factors-on-cuticle-biosynthetic-pathways
Poster,P25,./generated_poster_list.html#p25-characterization-of-transporter-genes-and-their-impact-on-cuticular-wax-composition-on-maize-silks
Poster,P26,./generated_poster_list.html#p26-co-expression-analysis-identifies-a-transcription-factor-positively-regulates-the-kauralexin-biosynthesis-gene-zmksl2
Poster,P27,./generated_poster_list.html#p27-comparative-analysis-of-host-specificity-and-pathogen-interaction-of-cochliobolus-heterostrophus-on-maize-vs-non-host-species
Poster,P28,./generated_poster_list.html#p28-deciphering-genetic-architecture-of-stalk-lodging-resistance-using-high-density-phenotype-map-in-maize
Poster,P29,./generated_poster_list.html#p29-deciphering-the-role-of-the-cell-wall-in-mycorrhizal-symbiosis-under-low-input-conditions-in-maize
Poster,P30,./generated_poster_list.html#p30-decoding-a-complex-distal-non-coding-qtl-at-teosinte-branched-1
Poster,P31,./generated_poster_list.html#p31-developing-a-high-throughput-genotyping-assay-for-rapid-identification-of-multiple-edited-flowering-genes-in-tropical-maize
Poster,P32,./generated_poster_list.html#p32-developing-a-system-to-elucidate-genetic-factors-underlying-hypersensitivity-responses-in-maize
Poster,P33,./generated_poster_list.html#p33-developing-an-efficient-workflow-for-detecting-crispr-edited-alleles-in-three-target-genes-that-regulate-photoperiod-response-in-tropical-maize
Poster,P34,./generated_poster_list.html#p34-development-of-sorghum-btx642-ems-population
Poster,P35,./generated_poster_list.html#p35-development-of-efficient-haploid-inducers-of-fast-flowering-mini-maize
Poster,P36,./generated_poster_list.html#p36-endogenous-gene-activation-of-a-myb-transcription-factor-by-crispra-drives-wax-biosynthesis-regulation-in-maize
Poster,P37,./generated_poster_list.html#p37-engineering-maize-mosaic-virus-for-efficient-virus-induced-gene-silencing-and-virus-induced-dna-free-genome-editing-in-maize-a-potential-ally-for-maize-improvement
Poster,P38,./generated_poster_list.html#p38-expression-of-the-solanaceous-immune-receptor-fls3-in-maize-protoplasts
Poster,P39,./generated_poster_list.html#p39-expression-variation-in-glossy15-is-associated-with-harvest-index-in-maize
Poster,P40,./generated_poster_list.html#p40-flood-induced-insect-resistance-in-maize-involves-flavonoid-dependent-salicylic-acid-induction
Poster,P41,./generated_poster_list.html#p41-gene-expression-and-circadian-rhythm-differences-between-temperate-and-tropical-maize-inbreds-in-response-to-photoperiod
Poster,P42,./generated_poster_list.html#p42-generating-crossovers-at-targeted-sites-in-the-maize-genome
Poster,P43,./generated_poster_list.html#p43-genetic-architecture-of-specialized-metabolites-in-sorghum-and-maize
Poster,P44,./generated_poster_list.html#p44-harnessing-male-sterility-to-accelerate-genetic-research-in-the-c4-model-setaria-viridis
Poster,P45,./generated_poster_list.html#p45-how-maize-eliminates-an-apparent-toxic-by-product---identification-and-functional-characterization-of-the-c4-ketone-products-of-homoterpene-biosynthesis-in-zea-mays
Poster,P46,./generated_poster_list.html#p46-how-to-control-meiotic-recombination-the-role-of-chromatin-state-and-dsb-resection-in-determining-crossing-over-locations-in-maize
Poster,P47,./generated_poster_list.html#p47-impact-of-phosphate-solubilizing-bacteria-inoculation-on-maize-yield-root-system-architecture-and-microbiome
Poster,P48,./generated_poster_list.html#p48-implementation-of-a-lab-scale-highly-efficient-crispr-cas-9-gene-editing-and-genotyping-system-in-maize
Poster,P49,./generated_poster_list.html#p49-introgression-of-a-mexican-highland-chromosomal-inversion-into-temperate-maize-accelerates-flowering-promotes-growth-and-modulates-a-cell-proliferation-gene-network
Poster,P50,./generated_poster_list.html#p50-lysdh-overexpression-increases-drought-tolerance-in-maize
Poster,P51,./generated_poster_list.html#p51-methylation-responsive-promoters-for-engineering-gene-expression
Poster,P52,./generated_poster_list.html#p52-non-invasive-identification-and-analysis-of-maize-root-exudates
Poster,P53,./generated_poster_list.html#p53-novel-use-of-cell-wall-degrading-enzymes-as-a-tool-to-elucidate-cell-wall-mediated-signaling-during-pathogenesis
Poster,P54,./generated_poster_list.html#p54-optimizing-crispr-cas9-genome-editing-for-precise-gene-deletion-in-zea-mays
Poster,P55,./generated_poster_list.html#p55-overexpression-of-pstol1-like-genes-increases-maize-root-surface-area-and-biomass-under-low-and-high-phosphorus-conditions
Poster,P56,./generated_poster_list.html#p56-phenotypic-characterization-of-overexpression-of-glossy3-involved-in-biosynthesis-of-cuticular-wax-in-maize
Poster,P57,./generated_poster_list.html#p57-red-chlorophyll-catabolite-reductase-mutants-in-maize-and-sorghum
Poster,P58,./generated_poster_list.html#p58-restoration-of-haploid-male-fertility-in-maize-a-novel-approach-using-zmjr-mutants
Poster,P59,./generated_poster_list.html#p59-robust-leaf-based-transformation-in-sorghum-bicolor and-editing-of-classical-maize-genes
Poster,P60,./generated_poster_list.html#p60-roles-of-rel2-mediated-transcriptional-co-repression-in-maize-immunity
Poster,P61,./generated_poster_list.html#p61-sorbitol-dehydrogenase-enhances-kernel-size-by-integrating-carbohydrate-and-redox-metabolism-in-the-hypoxic-endosperm
Poster,P62,./generated_poster_list.html#p62-systematic-exploration-of-transcription-factor-function-in-maize
Poster,P63,./generated_poster_list.html#p63-targeted-seed-ems-mutagenesis-reveals-a-bhlh-transcription-factor-underlying-male-sterility-in-sorghum
Poster,P64,./generated_poster_list.html#p64-the-maize-tar-spot-pathogen-phyllachora-maydis-encodes-an-effector-protein-that-targets-the-chloroplasts-and-suppresses-plant-immunity
Poster,P65,./generated_poster_list.html#p65-the-tale-of-two-rubisco-activase-studying-the-function-of-rca1-and-rca3-in-maize
Poster,P66,./generated_poster_list.html#p66-transcriptomic-analysis-of-tar-spot-and-fisheye-lesions-exhibit-distinct-yet-overlapping-transcriptomic-signatures-suggesting-a-complex-interplay-of-shared-and-specific-pathways
Poster,P67,./generated_poster_list.html#p67-transcriptomic-and-metabolomic-analyses-of-oxylipin-deficient-maize-mutants
Poster,P68,./generated_poster_list.html#p68-tropical-maize-paving-the-way-to-explore-untapped-genetic-diversity
Poster,P69,./generated_poster_list.html#p69-understanding-anthocyanin-accumulation-in-developing-pericarp-tissue-through-comparative-transcriptomics-of-near-isogenic-and-inbred-purple-maize-cultivars
Poster,P70,./generated_poster_list.html#p70-understanding-the-role-of-tor-signaling-and-translational-machinery-in-regulating-protein-bound-amino-acid-homeostasis-in-maize-kernels
Poster,P71,./generated_poster_list.html#p71-what’s-new-at-the-maize-genetic-cooperation-stock-center
Poster,P72,./generated_poster_list.html#p72-zmcer9-mediated-regulation-of-autoactive-nlr-proteins-and-effector-triggered-immunity-via-erad-pathway
Poster,P73,./generated_poster_list.html#p73-k1c-resiliance-400kb-deletion-of-alpha-kafirin-family-genes-yields-negligible-nonkafirin-proteome-compensation-in-sorghum
Poster,P74,./generated_poster_list.html#p74-a-zmwuschel1-little-zipper-rolled-leaf1/revoluta-regulatory-module-controls-stem-cell-organization-in-maize-inflorescences
Poster,P75,./generated_poster_list.html#p75-a-high-resolution-meristem-stage-specific-single-cell-gene-expression-atlas-resolving-developmental-dynamics-in-maize-inflorescence-architecture
Poster,P76,./generated_poster_list.html#p76-a-nuclear-role-of-ramosa3-in-inflorescence-branching-independent-of-its-enzymatic-function
Poster,P77,./generated_poster_list.html#p77-a-spatiotemporal-transcriptional-map-of-maize-lateral-root-formation
Poster,P78,./generated_poster_list.html#p78-assessing-factors-underlying-variation-in-maize-pollen-grain-size-genetics-development-and-environment
Poster,P79,./generated_poster_list.html#p79-asymmetric-signaling-and-transcription-factor-interactions-generate-robust-nonrandom-patterning-in-maize-leaf-margins
Poster,P80,./generated_poster_list.html#p80-catalytic-and-non-catalytic-trehalose-6-phosphate-synthases-tpss-interact-with-ramosa3-to-control-maize-development
Poster,P81,./generated_poster_list.html#p81-cell-based-high-throughput-screening-in-maize
Poster,P82,./generated_poster_list.html#p82-cell-specific-insights-into-fungicide-mode-of-action-and-host-resistance-to-improve-tar-spot-management-in-maize
Poster,P83,./generated_poster_list.html#p83-characterizing-vasculature-reconnection-in-maize-“twin-grafts”
Poster,P84,./generated_poster_list.html#p84-chemical-imaging-reveals-metabolic-responses-to-salt-stress-in-maize-roots
Poster,P85,./generated_poster_list.html#p85-comprehensive-single-cell-profiling-of-plant-shoot-stem-cells-uncovers-key-insights-for-functional-studies-and-trait-gene-discovery
Poster,P86,./generated_poster_list.html#p86-cross-species-transcriptome-comparison-reveals-candidate-transcription-factors-for-brace-root-development
Poster,P87,./generated_poster_list.html#p87-cytological-genomic-and-comparative-analysis-of-dna-replication-in-maize-and-sorghum
Poster,P88,./generated_poster_list.html#p88-designing-form-and-function-into-research-devices
Poster,P89,./generated_poster_list.html#p89-determining-flowering-phenotypes-and-expression-signatures-of-temperate-and-tropical-maize-grown-in-short-and-long-day-field-environments
Poster,P90,./generated_poster_list.html#p90-differential-expression-of-nitrogen-transporters-contributes-to-uptake-differences-between-aerial-and-soil-brace-roots
Poster,P91,./generated_poster_list.html#p91-effects-of-phenylboronic-acid-on-maize-root-development-boron-related-but-rhamnogalacturonan-ii-independent
Poster,P92,./generated_poster_list.html#p92-exploring-small-molecule-regulation-of-root-development-in-zea-mays
Poster,P93,./generated_poster_list.html#p93-exploring-the-timing-of-the-sporophyte-to-gametophyte-transition-sgt
Poster,P94,./generated_poster_list.html#p94-genes-that-regulate-azimuthal-canopy-re-orientation-exhibit-sensitivity-to-plant-density
Poster,P95,./generated_poster_list.html#p95-genetic-control-of-lateral-root-branching-in-response-to-moisture
Poster,P96,./generated_poster_list.html#p96-genetic-networks-of-maize-phyllotaxy-mutants
Poster,P97,./generated_poster_list.html#p97-harnessing-pluripotency-identifying-key-regulators-of-plant-cell-regeneration
Poster,P98,./generated_poster_list.html#p98-heat-stress-at-tricellular-stage-inhibits-maize-pollen-dehiscence
Poster,P99,./generated_poster_list.html#p99-influence-of-the-temperature-light-and-nutritional-status-in-infection-by-agrobacterium-tumefaciens-in-maize-leaf-transformation
Poster,P100,./generated_poster_list.html#p100-investigating-tangled1-mediated-division-site-maintenance-across-land-plant-lineages
Poster,P101,./generated_poster_list.html#p101-leveraging-lrr-receptor-gene-editing-for-enhanced-ear-morphology-in-maize
Poster,P102,./generated_poster_list.html#p102-localized-changes-in-developmental-phase-transition-on-a-recurrent-morphogenetic-regulatory-network-enables-maize-leaf-angle-variation
Poster,P103,./generated_poster_list.html#p103-male-sterile-converted-anther-1-msca1-hypoxia-and-tga-transcription-factors
Poster,P104,./generated_poster_list.html#p104-making-good-connections-how-transverse-veins-span-the-maize-leaf-vascular-network
Poster,P105,./generated_poster_list.html#p105-modifying-gene-expression-of-native-genes-by-crispr-cas-editing-to-obtain-shorter-maize-varieties
Poster,P106,./generated_poster_list.html#p106-new-tools-for-visualizing-phasirna-biogenesis-in-maize-anthers-via-hybridization-chain-reaction-immunofluorescence-and-multiplex-super-resolution-microscopy
Poster,P107,./generated_poster_list.html#p107-pizza-theory!-meristem-organization-restricts-the-spread-of-new-mutations-among-the-offspring
Poster,P108,./generated_poster_list.html#p108-positional-cell-divisions-growth-and-recruitment-contribute-to-cell-fate-acquisition-at-a-developmental-boundary-in-the-maize-leaf
Poster,P109,./generated_poster_list.html#p109-response-of-autophagy-deficient-maize-atg10-mutants-to-heat-stress
Poster,P110,./generated_poster_list.html#p110-sbp-mutants-have-an-expanded-competence-zone-for-brace-root-initiation
Poster,P111,./generated_poster_list.html#p111-str2-–-a-plant-half-sized-abcg-transporter-with-a-multifaceted-role-in-am-symbiosis
Poster,P112,./generated_poster_list.html#p112-sex-and-death-mapping-and-characterization-of-several-novel-tassel-seed-mutants-with-altered-sex-determination
Poster,P113,./generated_poster_list.html#p113-spatial-analysis-of-stomatal-patterning-can-quantify-component-traits-tied-to-developmental-genetics-of-stomatal-density-in-maize
Poster,P114,./generated_poster_list.html#p114-supporting-the-next-generation-bhlh-transcription-factor-complexes-regulating-maize-anther-development
Poster,P115,./generated_poster_list.html#p115-target-of-rapamycin-regulates-gene-expression-across-developmental-gradients
Poster,P116,./generated_poster_list.html#p116-terminal-ear1-te1-couples-maize-development-with-stress-responses
Poster,P117,./generated_poster_list.html#p117-the-wisconsin-crop-innovation-center-a-public-resource-for-crop-transformation-and-gene-editing-research
Poster,P118,./generated_poster_list.html#p118-the-cis-regulatory-evolution-of-grassy-tillers1-gt1-in-the-grass-family
Poster,P119,./generated_poster_list.html#p119-the-enhancer-of-spi1-eos1-gene-functions-in-maize-tassel-development-by-regulating-auxin-transport
Poster,P120,./generated_poster_list.html#p120-uncovering-maize-regeneration-mechanism-through-morphogenic-regulators-mutants
Poster,P121,./generated_poster_list.html#p121-uncovering-the-genes-regulating-lifespan-stalk-flexural-stiffness
Poster,P122,./generated_poster_list.html#p122-lateral-rootless2-lrs2-shapes-maize-root-development-by-regulating-polar-auxin-transport
Poster,P123,./generated_poster_list.html#p123-a-comparative-approach-for-selecting-orthologous-candidate-genes-underlying-signal-in-elemental-accumulation-genome-wide-association-studies-across-multiple-species
Poster,P124,./generated_poster_list.html#p124-a-large-scale-transcriptomic-survey-of-nitrogen-recycling-genes-in-perennial-grasses-for-sustainable-maize-production
Poster,P125,./generated_poster_list.html#p125-a-unified-vcf-data-set-from-nearly-1500-diverse-maize-accessions-and-resources-to-explore-the-genomic-landscape-of-maize
Poster,P126,./generated_poster_list.html#p126-using-the-maizegdb-genome-browser-to-evaluate-gene-model-annotation-quality-and-gain-functional-insights
Poster,P127,./generated_poster_list.html#p127-updating-the-maize-nomenclature-recommendations
Poster,P128,./generated_poster_list.html#p128-maizemine-tools-for-mining-gene-expression-in-the-maize-nam-lines
Poster,P129,./generated_poster_list.html#p129-comparing-the-performance-of-protein-folding-models-alphafold-esmfold-and-boltz-for-classical-genes-in-maize
Poster,P130,./generated_poster_list.html#p130-fusarium-protein-toolkit-an-ai-based-resource-to-facilitate-exploring-host-pathogen-interactions-in-maize
Poster,P131,./generated_poster_list.html#p131-plasticity-and-fitness-trade-offs-in-switchgrass-revealed-by-open-science-and-citizen-science-data
Poster,P132,./generated_poster_list.html#p132-alleles-that-reduce-pollen-fitness-can-condition-heterogeneous-spatial-patterns-of-inheritance-across-maize-ears
Poster,P133,./generated_poster_list.html#p133-archaeological-bolivian-maize-genomes-suggest-inca-cultural-expansion-augmented-maize-diversity-in-south-america
Poster,P134,./generated_poster_list.html#p134-building-a-practical-haplotype-graph-from-pacbio-assemblies-for-genotype-imputation-and-allele-mining-in-maize
Poster,P135,./generated_poster_list.html#p135-candidate-genes-underlying-a-major-qtl-qshgd1-causing-spontaneous-haploid-genome-doubling-in-maize-a427
Poster,P136,./generated_poster_list.html#p136-characterization-of-allele-specific-expression-and-cis-regulatory-divergence-in-hybrid-maize-implications-for-gene-environment-interactions
Poster,P137,./generated_poster_list.html#p137-cross-species-modeling-of-plant-genomes-at-single-nucleotide-resolution-using-a-pre-trained-dna-language-model
Poster,P138,./generated_poster_list.html#p138-dancing-canopy-genes-regulate-azimuthal-canopy-orientations-and-response-to-high-planting-density-in-maize
Poster,P139,./generated_poster_list.html#p139-decoding-tissue-specific-gene-expression-using-dna-language-model
Poster,P140,./generated_poster_list.html#p140-dissecting-the-physiological-and-molecular-responses-to-nitrogen-stress-in-sorghum
Poster,P141,./generated_poster_list.html#p141-dynamic-patterns-of-maize-phenotypic-responses-to-drought-heat-and-their-combined-stress
Poster,P142,./generated_poster_list.html#p142-expanding-maize-breeding-resources-with-teosinte-alleles-through-a-practical-haplotype-graph-map-of-the-zea-synthetic-population
Poster,P143,./generated_poster_list.html#p143-exploring-the-influence-of-nitrogen-on-rhizosphere-and-apoplastic-microbiomes-in-maize
Poster,P144,./generated_poster_list.html#p144-genomic-assembly-and-analysis-of-fast-flowering-mini-maize
Poster,P145,./generated_poster_list.html#p145-gramene-plants-empowering-agricultural-research-from-genomic-diversity-through-pan-genome-analysis
Poster,P146,./generated_poster_list.html#p146-high-throughput-phenotyping-with-high-resolution-maize-ear-and-kernel-imaging
Poster,P147,./generated_poster_list.html#p147-how-much-of-phenotypic-variation-across-environments-is-explained-by-variation-in-gene-expression
Poster,P148,./generated_poster_list.html#p148-impacts-of-structural-variant-deletions-and-indels-on-snp-genotype-imputation
Poster,P149,./generated_poster_list.html#p149-incorporation-of-biological-information-in-deep-learning-models-for-phenotypic-prediction
Poster,P150,./generated_poster_list.html#p150-integration-of-phenomic-proteomic-and-genomic-data-into-a-multi-scale-network-unravels-missing-heritability-for-maize-response-to-water-deficit
Poster,P151,./generated_poster_list.html#p151-leveraging-natural-genetic-variation-for-functional-validation-of-genes-with-predicted-functions-in-maize
Poster,P152,./generated_poster_list.html#p152-localized-and-systemic-nature-of-metabolic-responses-in-root-mycorrhizae-interactions
Poster,P153,./generated_poster_list.html#p153-low-cost-image-based-phenotyping-of-maize-abiotic-stress-responses
